Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,AutoSize,,,
ProLine Composites,13810,CR 29-54 Fiberglass,0,1.25,2.159,0.1,Fiberglass,1,0,0,0
ProLine Composites,13811,CR 38-54 Fiberglass,0,1.656,2.152,0.1,Fiberglass,1,0,0,0
ProLine Composites,13812,CR 29-2.6in Fiberglass,0,1.249,2.557,0.25,Fiberglass,1,0,0,0
ProLine Composites,13813,CR 38-2.6in Fiberglass,0,1.651,2.557,0.09,Fiberglass,1,0,0,0
ProLine Composites,13815,CR 29-3in Fiberglass,0,1.254,2.99,0.1,Fiberglass,1,0,0,0
ProLine Composites,13816,CR 38-3in Fiberglass,0,1.655,2.99,0.1,Fiberglass,1,0,0,0
ProLine Composites,13817,CR 54-3in Fiberglass,0,2.285,2.99,0.1,Fiberglass,1,0,0,0
ProLine Composites,13818,CR 29-4in Fiberglass,0,1.253,3.898,0.1,Fiberglass,1,0,0,0
ProLine Composites,13819,CR 38-4in Fiberglass,0,1.631,3.989,0.1,Fiberglass,1,0,0,0
ProLine Composites,13821,CR 75-4in Fiberglass,0,3.145,3.989,0.1,Fiberglass,1,0,0,0
ProLine Composites,13826,CR 38-5.5in Fiberglass,0,1.637,5.38,0.12,Fiberglass,1,0,0,0
ProLine Composites,13827,CR 54-5.5in Fiberglass,0,2.277,5.38,0.14,Fiberglass,1,0,0,0
ProLine Composites,13828,CR 75-5.5in Fiberglass,0,3.143,5.38,0.14,Fiberglass,1,0,0,0
ProLine Composites,13829,CR 98-5.5in Fiberglass,0,4.023,5.38,0.12,Fiberglass,1,0,0,0
ProLine Composites,13830,CR 54-6in Fiberglass,0,2.294,6.015,0.12,Fiberglass,1,0,0,0
ProLine Composites,13831,CR 75-6in Fiberglass,0,3.135,6.015,0.12,Fiberglass,1,0,0,0
ProLine Composites,13832,CR 98-6in Fiberglass,0,4.046,6.015,0.13,Fiberglass,1,0,0,0
ProLine Composites,13833,CR 54-7.5in Fiberglass,0,2.286,7.5,0.13,Fiberglass,1,0,0,0
ProLine Composites,13834,CR 75-7.5in Fiberglass,0,3.122,7.5,0.14,Fiberglass,1,0,0,0
ProLine Composites,13835,CR 98-7.5in Fiberglass,0,4.046,7.5,0.13,Fiberglass,1,0,0,0
ProLine Composites,,CR 29-38 Fiberglass,0,1.243,1.507,0.27,Fiberglass,0,0,0,0
ProLine Composites,,CR 29-54 Fiberglass,0,1.25,2.159,0.1,Fiberglass,0,0,0,0
ProLine Composites,,CR 38-54 Fiberglass,0,1.656,2.152,0.1,Fiberglass,0,0,0,0
ProLine Composites,,CR 29-2.6in Fiberglass,0,1.249,2.557,0.25,Fiberglass,0,0,0,0
ProLine Composites,,CR 38-2.6in Fiberglass,0,1.651,2.557,0.09,Fiberglass,0,0,0,0
ProLine Composites,,CR 29-3in Fiberglass,0,1.254,2.99,0.1,Fiberglass,0,0,0,0
ProLine Composites,,CR 38-3in Fiberglass,0,1.655,2.99,0.1,Fiberglass,0,0,0,0
ProLine Composites,,CR 54-3in Fiberglass,0,2.285,2.99,0.1,Fiberglass,0,0,0,0
ProLine Composites,,CR 29-4in Fiberglass,0,1.253,3.898,0.1,Fiberglass,0,0,0,0
