Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Engine,,
LOC/Precision,13171,"2.56"" Stiffy",0,2.250,2.480,6.000,Paper,,2,50.200
LOC/Precision,13172,75mm Stiffy,1,68.700,74.400,146.000,Paper,,2,60.800
LOC/Precision,13173,98mm Stiffy,1,93.400,99.100,146.000,Paper,,2,81.650
LOC/Precision,13174,"5.38"" Stiffy",1,131.000,137.000,248.000,Paper,,2,220.700
LOC/Precision,13168,7.51" Tube Coupler,0,7.420,7.510,12.000,Paper,,2,248.000
LOC/Precision,13175,"7.51"" Stiffy",0,7.000,7.380,14.000,Paper,,2,676.000
Madcow Rocketry,10601,29mm x 48" Fiberglass Tube,0,1.140,1.250,48.000,Fiberglass,,2,276.900
Madcow Rocketry,10632,33mm x 48" Fiberglass Tube,0,1.290,1.340,48.000,Fiberglass,,2,160.100
Madcow Rocketry,10622,38mm x 48" Fiberglass Tube,0,1.520,1.600,48.000,Fiberglass,,2,273.000
Madcow Rocketry,10625,3" x 48" Fiberglass Tube,0,3.000,3.100,48.000,Fiberglass,,2,658.000
ProLine Composites,10607,4" x 48" Fiberglass Tube,0,3.890,4.080,48.000,Fiberglass,,2,1345.300
ProLine Composites,10613,"6" x 48"" Fiberglass Tube",0,6.010,6.190,48.000,Fiberglass,,2,2766.000
ProLine Composites,10616,7.5" x 48" Fiberglass Tube,0,7.500,7.740,48.000,Fiberglass,,2,3834.000
ProLine Composites,10617,8" x 48" Fiberglass Tube,0,7.810,8.000,48.000,Fiberglass,,2,4122.000
Mach I,10630,18mm x 48" Fiberglass Body Tube,0,0.700,0.750,48.000,Fiberglass,,2,78.200
Mach I,10633,41.6mm x 48" Fiberglass Body Tube,0,1.560,1.640,48.000,Fiberglass,,2,191.700
Mach I,10634,54mm x 48" Fiberglass Body Tube,0,2.130,2.240,48.000,Fiberglass,,2,464.300
Mach I,10635,66mm x 48" Fiberglass Body Tube,0,2.560,2.650,48.000,Fiberglass,,2,633.500
Mach I,10636,"3" x 48"" Fiberglass Body Tube",0,2.990,3.090,48.000,Fiberglass,,2,694.600
Mach I,10637,98mm x 48" Fiberglass Body Tube,0,3.890,4.040,48.000,Fiberglass,,2,1289.300
